source_row_id,id,name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,address_line1,address_city,address_stateOrRegion,address_district,address_countryCode,latitude,longitude,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,specialties,procedure,equipment,capability
row_001,fac_001,Korle Bu Teaching Hospital,+233302665401,info@kbth.gov.gh,https://kbth.gov.gh,1923,true,Guggisberg Avenue,Accra,Greater Accra,Accra Metropolitan,GH,5.536,-0.226,hospital,public,"academic,government","Major teaching hospital with ICU cardiac surgery emergency and specialist departments.",urban,120,2000,"cardiology,generalSurgery,emergencyMedicine,pediatrics","cardiac surgery,general surgery,emergency stabilization","ECG,echo,CT,backup generator,oxygen,operating theatre","ICU,cardiac surgery,emergency,inpatient,outpatient"
row_002,fac_002,Komfo Anokye Teaching Hospital,+233322022301,info@kath.gov.gh,https://kath.gov.gh,1954,true,Bantama Road,Kumasi,Ashanti,Kumasi Metropolitan,GH,6.697,-1.628,hospital,public,"academic,government","Regional referral center with trauma surgery maternity orthopedic care and ICU.",urban,95,1200,"generalSurgery,orthopedicSurgery,emergencyMedicine,gynecologyAndObstetrics","trauma surgery,orthopedic surgery,maternity","x-ray,CT,backup power,oxygen,operating theatre","ICU,Level I trauma,maternity,orthopedic,emergency"
row_003,fac_003,Tamale Central Clinic,+233372024111,care@tamaleclinic.org,,2005,false,Hospital Road,Tamale,Northern,Tamale Metropolitan,GH,9.407,-0.853,clinic,private,community,"Primary care clinic offering outpatient pediatric and family medicine services.",urban,4,25,"familyMedicine,pediatrics","immunization,outpatient consultation","oxygen,ultrasound","outpatient,pediatric,maternity"
row_004,fac_004,Wa District Health Centre,+233392022222,wa@health.gov.gh,,1998,true,Market Road,Wa,Upper West,Wa Municipal,GH,10.060,-2.507,clinic,public,government,"Underserved district center with basic emergency care and limited equipment.",rural,1,15,emergencyMedicine,"wound care,emergency stabilization","oxygen","emergency,outpatient"
row_005,fac_005,Bolgatanga Surgical Mission,+233382023333,mission@example.org,,2012,true,Mission Street,Bolgatanga,Upper East,Bolgatanga Municipal,GH,10.785,-0.851,hospital,private,"faith-tradition,philanthropy-legacy","Claims broad surgical capabilities but staffing data needs verification.",rural,0,30,generalSurgery,"general surgery,hernia repair","operating theatre","surgery,ICU"
row_006,fac_006,Cape Coast Dental Centre,+233332021234,dental@example.org,,2018,false,Castle Road,Cape Coast,Central,Cape Coast Metropolitan,GH,5.105,-1.246,dentist,private,community,"Dental and oral health center with outreach programs.",urban,2,5,dentistry,"dental extraction,oral screening","dental chair,x-ray","outpatient,dental"
row_007,fac_007,Ho Regional Hospital,+233362022777,info@horegional.gov.gh,,1999,true,Residency Road,Ho,Volta,Ho Municipal,GH,6.611,0.471,hospital,public,government,"Regional hospital with maternity emergency medicine and ophthalmology outreach.",urban,18,240,"emergencyMedicine,gynecologyAndObstetrics,ophthalmology","cataract screening,emergency stabilization,cesarean section","ultrasound,x-ray,oxygen,backup generator","emergency,maternity,outpatient,inpatient"
row_008,fac_008,Sunyani Municipal Hospital,+233352024444,sunyani@health.gov.gh,,2001,true,Hospital Lane,Sunyani,Bono,Sunyani Municipal,GH,7.339,-2.326,hospital,public,government,"Municipal hospital with internal medicine family medicine and basic surgical services.",urban,12,180,"internalMedicine,familyMedicine,generalSurgery","general surgery,endoscopy screening,outpatient consultation","operating theatre,x-ray,lab analyzer,oxygen","surgery,inpatient,outpatient"
row_009,fac_009,Koforidua Cardiac Clinic,+233342025555,cardiac@kofclinic.org,,2016,false,Clinic Avenue,Koforidua,Eastern,New Juaben South,GH,6.094,-0.259,clinic,private,community,"Specialty clinic focused on heart failure follow-up hypertension and diagnostic cardiology.",urban,3,18,cardiology,"ECG screening,hypertension clinic,echo diagnostics","ECG,echo,oxygen","outpatient,diagnostic cardiology"
row_010,fac_010,Techiman Community Health Centre,+233352026666,techiman@health.gov.gh,,2009,true,Market Link,Techiman,Bono East,Techiman Municipal,GH,7.586,-1.940,clinic,public,community,"Community health center with pediatric immunization family medicine and referral coordination.",peri-urban,3,35,"familyMedicine,pediatrics","immunization,outpatient consultation,malaria testing","oxygen,rapid diagnostic test kits,vaccine refrigerator","outpatient,pediatric,referral coordination"
row_011,fac_011,Sefwi Wiawso District Hospital,+233312027777,wiawso@health.gov.gh,,1994,true,District Road,Sefwi Wiawso,Western North,Sefwi Wiawso Municipal,GH,6.205,-2.489,hospital,public,government,"District hospital serving rural communities with maternity emergency and limited surgical capability.",rural,6,90,"emergencyMedicine,gynecologyAndObstetrics,generalSurgery","cesarean section,wound care,emergency stabilization","operating theatre,oxygen,generator,ultrasound","emergency,maternity,surgery,inpatient"
row_012,fac_012,Damongo Rural Clinic,+233372028888,damongo@health.gov.gh,,2014,true,Clinic Road,Damongo,Savannah,West Gonja,GH,9.083,-1.819,clinic,public,government,"Rural clinic with outpatient care and very limited equipment; refers trauma and surgical cases.",rural,1,12,familyMedicine,"outpatient consultation,malaria testing","rapid diagnostic test kits,oxygen","outpatient,referral coordination"
